Paticle,Thread,Memory,Time
n1eV_inner_electron,10,5,0-04:00
n1eV_inter_electron,10,5,0-04:00
n1eV_outer_electron,10,5,0-04:00
n1eV_outer_proton,1,12,1-00:00
n100eV_inner_electron,10,5,0-04:00
n100eV_inter_electron,10,5,0-04:00
n100eV_inter_proton,10,8,0-20:00
n100eV_outer_electron,10,5,0-05:00
n100eV_outer_proton,1,12,1-00:00 
n1keV_inner_electron,10,5,0-04:30
n1keV_inner_proton,10,8,0-18:00
n1keV_inter_electron,10,5,0-04:00
n1keV_inter_proton,10,8,0-20:00
n1keV_outer_electron,10,5,0-05:00
n1keV_outer_proton,10,8,0-22:00
n10keV_inner_electron,10,5,0-04:00
n10keV_inner_proton,10,8,0-18:00
n10keV_inter_electron,10,5,0-05:00
n10keV_inter_proton,10,8,0-18:00
n10keV_outer_electron,10,4,0-01:00
n10keV_outer_proton,10,8,0-20:00
n50keV_inner_electron,10,5,0-03:00
n50keV_inner_proton,10,8,0-16:00
n50keV_inter_electron,10,5,0-03:00
n50keV_inter_proton,10,8,0-18:00
n50keV_outer_electron,10,4,0-03:00
n50keV_outer_proton,10,8,0-20:00
n100keV_inner_electron,10,5,0-02:00
n100keV_inner_proton,10,8,0-16:00
n100keV_inter_electron,10,5,0-03:00
n100keV_inter_proton,10,8,0-20:00
n100keV_outer_electron,10,4,0-03:00
n100keV_outer_proton,10,8,0-22:00
n500keV_inner_electron,10,4,0-03:00
n500keV_inner_proton,10,8,0-18:00
n500keV_inter_electron,10,4,0-03:00
n500keV_inter_proton,10,8,0-20:00
n500keV_outer_electron,10,4,0-03:00
n500keV_outer_proton,10,8,0-22:00
n700keV_inner_electron,10,4,0-03:00
n700keV_inner_proton,10,8,0-18:00
n700keV_inter_electron,10,4,0-03:00
n700keV_inter_proton,10,8,0-20:00
n700keV_outer_electron,10,4,0-03:00
n700keV_outer_proton,10,8,0-22:00
n800keV_inner_electron,10,4,0-03:00
n800keV_inner_proton,10,8,0-18:00
n800keV_inter_electron,10,4,0-03:00
n800keV_inter_proton,10,8,0-20:00
n800keV_outer_electron,10,4,0-03:00
n800keV_outer_proton,10,8,0-22:00
n900keV_inner_electron,10,4,0-03:00
n900keV_inner_proton,10,8,0-18:00
n900keV_inter_electron,10,4,0-03:00
n900keV_inter_proton,10,8,0-20:00
n900keV_outer_electron,10,4,0-03:00
n900keV_outer_proton,10,8,0-22:00
n1MeV_inner_electron,10,4,0-03:00
n1MeV_inner_proton,10,8,0-18:00
n1MeV_inter_electron,10,4,0-03:00
n1MeV_inter_proton,10,8,0-20:00
n1MeV_outer_electron,10,4,0-03:00
n1MeV_outer_proton,10,8,0-22:00
n1-1MeV_inner_electron,10,4,0-03:00
n1-1MeV_inner_proton,10,8,0-18:00
n1-1MeV_inter_electron,10,4,0-03:00
n1-1MeV_inter_proton,10,8,0-20:00
n1-1MeV_outer_electron,10,4,0-03:00
n1-1MeV_outer_proton,10,8,0-22:00
n1-2MeV_inner_electron,10,4,0-03:00
n1-2MeV_inner_proton,10,8,0-18:00
n1-2MeV_inter_electron,10,4,0-03:00
n1-2MeV_inter_proton,10,8,0-20:00
n1-2MeV_outer_electron,10,4,0-03:00
n1-2MeV_outer_proton,10,8,0-22:00
n1-3MeV_inner_electron,10,4,0-03:00
n1-3MeV_inner_proton,10,8,0-18:00
n1-3MeV_inter_electron,10,4,0-03:00
n1-3MeV_inter_proton,10,8,0-20:00
n1-3MeV_outer_electron,10,4,0-03:00
n1-3MeV_outer_proton,10,8,0-22:00
n1-5MeV_inner_electron,10,4,0-03:00
n1-5MeV_inner_proton,10,8,0-18:00
n1-5MeV_inter_electron,10,4,0-03:00
n1-5MeV_inter_proton,10,8,0-20:00
n1-5MeV_outer_electron,10,4,0-03:00
n1-5MeV_outer_proton,10,8,0-22:00
n2MeV_inner_electron,10,4,0-03:00
n2MeV_inner_proton,10,8,0-18:00
n2MeV_inter_electron,10,4,0-03:00
n2MeV_inter_proton,10,8,0-20:00
n2MeV_outer_electron,10,4,0-03:00
n2MeV_outer_proton,10,8,0-22:00
n5MeV_inner_electron,10,4,0-03:00
n5MeV_inner_proton,10,8,0-18:00
n5MeV_inner_alpha,1,12,2-02:00 
n5MeV_inter_electron,10,4,0-03:00
n5MeV_inter_proton,10,8,0-20:00
n5MeV_inter_alpha,1,12,2-02:00 
n5MeV_outer_electron,10,4,0-03:00
n5MeV_outer_proton,10,8,0-22:00
n5MeV_outer_alpha,1,12,2-02:00 
n10MeV_inner_electron,10,4,0-03:00
n10MeV_inner_proton,10,8,0-18:00
n10MeV_inner_alpha,1,12,2-02:00 
n10MeV_inter_electron,10,4,0-03:00
n10MeV_inter_proton,10,8,0-20:00
n10MeV_inter_alpha,1,12,2-02:00 
n10MeV_outer_electron,10,4,0-03:00
n10MeV_outer_proton,10,8,0-22:00
n10MeV_outer_alpha,1,12,2-02:00 
x250keV_inner_electron,10,6,0-07:00
x250keV_inter_electron,10,6,0-07:00
x250keV_outer_electron,10,6,0-07:00
