Paticle,Thread,Memory,Time
n1eV_inner_electron,1,5,0-12
n1eV_inter_electron,1,5,0-12
n1eV_outer_electron,1,5,0-10
n1eV_outer_proton,1,2,0-03
n100eV_inner_electron,1,6,0-13
n100eV_inter_electron,1,5,0-12
n100eV_inter_proton,1,3,0-08
n100eV_outer_electron,1,5,0-10
n100eV_outer_proton,1,2,0-03
n1keV_inner_electron,1,6,0-13
n1keV_inner_proton,1,3,0-08
n1keV_inter_electron,1,5,0-12
n1keV_inter_proton,1,3,0-08
n1keV_outer_electron,1,4,0-10
n1keV_outer_proton,1,4,0-09
n10keV_inner_electron,1,6,0-13
n10keV_inner_proton,1,3,0-07
n10keV_inter_electron,1,5,0-12
n10keV_inter_proton,1,3,0-08
n10keV_outer_electron,1,2,0-05
n10keV_outer_proton,1,5,0-12
n50keV_inner_electron,1,6,0-13
n50keV_inner_proton,1,3,0-08
n50keV_inter_electron,1,5,0-11
n50keV_inter_proton,1,3,0-08
n50keV_outer_electron,1,2,0-02
n50keV_outer_proton,1,8,0-18
n100keV_inner_electron,1,6,0-13
n100keV_inner_proton,1,3,0-06
n100keV_inter_electron,1,4,0-10
n100keV_inter_proton,1,4,0-09
n100keV_outer_electron,1,2,0-01
n100keV_outer_proton,1,9,0-22
n500keV_inner_electron,1,3,0-06
n500keV_inner_proton,1,8,0-18
n500keV_inter_electron,1,2,0-03
n500keV_inter_proton,1,10,0-23
n500keV_outer_electron,1,2,0-01
n500keV_outer_proton,1,11,0-25
n700keV_inner_electron,1,2,0-04
n700keV_inner_proton,1,9,0-20
n700keV_inter_electron,1,2,0-02
n700keV_inter_proton,1,10,0-22
n700keV_outer_electron,1,2,0-01
n700keV_outer_proton,1,9,0-22
n800keV_inner_electron,1,2,0-03
n800keV_inner_proton,1,9,0-21
n800keV_inter_electron,1,2,0-01
n800keV_inter_proton,1,9,0-22
n800keV_outer_electron,1,2,0-01
n800keV_outer_proton,1,9,0-21
n900keV_inner_electron,1,2,0-02
n900keV_inner_proton,1,9,0-21
n900keV_inter_electron,1,2,0-01
n900keV_inter_proton,1,9,0-22
n900keV_outer_electron,1,2,0-01
n900keV_outer_proton,1,9,0-20
n1MeV_inner_electron,1,2,0-03
n1MeV_inner_proton,1,9,0-20
n1MeV_inter_electron,1,2,0-01
n1MeV_inter_proton,1,9,0-21
n1MeV_outer_electron,1,2,0-01
n1MeV_outer_proton,1,9,0-20
n1-1MeV_inner_electron,1,2,0-02
n1-1MeV_inner_proton,1,9,0-20
n1-1MeV_inter_electron,1,2,0-01
n1-1MeV_inter_proton,1,9,0-21
n1-1MeV_outer_electron,1,2,0-01
n1-1MeV_outer_proton,1,8,0-20
n1-2MeV_inner_electron,1,2,0-02
n1-2MeV_inner_proton,1,9,0-20
n1-2MeV_inter_electron,1,2,0-01
n1-2MeV_inter_proton,1,9,0-20
n1-2MeV_outer_electron,1,2,0-01
n1-2MeV_outer_proton,1,8,0-19
n1-3MeV_inner_electron,1,2,0-02
n1-3MeV_inner_proton,1,9,0-20
n1-3MeV_inter_electron,1,2,0-01
n1-3MeV_inter_proton,1,9,0-20
n1-3MeV_outer_electron,1,2,0-01
n1-3MeV_outer_proton,1,8,0-19
n1-5MeV_inner_electron,1,2,0-01
n1-5MeV_inner_proton,1,9,0-20
n1-5MeV_inter_electron,1,2,0-01
n1-5MeV_inter_proton,1,8,0-19
n1-5MeV_outer_electron,1,2,0-01
n1-5MeV_outer_proton,1,8,0-19
n2MeV_inner_electron,1,2,0-01
n2MeV_inner_proton,1,8,0-19
n2MeV_inter_electron,1,2,0-01
n2MeV_inter_proton,1,8,0-19
n2MeV_outer_electron,1,2,0-01
n2MeV_outer_proton,1,8,0-18
n5MeV_inner_electron,1,2,0-01
n5MeV_inner_proton,1,7,0-17
n5MeV_inner_alpha,1,2,0-04
n5MeV_inter_electron,1,2,0-01
n5MeV_inter_proton,1,7,0-17
n5MeV_inter_alpha,1,2,0-05
n5MeV_outer_electron,1,2,0-01
n5MeV_outer_proton,1,7,0-16
n5MeV_outer_alpha,1,2,0-05
n10MeV_inner_electron,1,2,0-01
n10MeV_inner_proton,1,7,0-16
n10MeV_inner_alpha,1,2,0-04
n10MeV_inter_electron,1,2,0-01
n10MeV_inter_proton,1,7,0-15
n10MeV_inter_alpha,1,2,0-04
n10MeV_outer_electron,1,2,0-01
n10MeV_outer_proton,1,6,0-14
n10MeV_outer_alpha,1,2,0-04
x250keV_inner_electron,1,6,0-13
x250keV_inter_electron,1,6,0-13
x250keV_outer_electron,1,6,0-13
